review_text,label,source,paper_id
"This paper proposes a federated learning method called Meta Knowledge Condensation (MKC) that aims to reduce communication overhead by transmitting compressed ""meta knowledge"" rather than full model parameters. The core idea is interesting and the problem is certainly relevant, but I have significant concerns about the paper as it currently stands.

Let me start with what I think is the most glaring issue: the comparison on MNIST in the abstract is frankly misleading. Going from 74.07% to 92.95% on MNIST with only 10 rounds sounds impressive, but MNIST is a trivially easy dataset and the baseline they're comparing against is suspiciously weak. Any method that trains for even a few rounds on MNIST should do better than 74%. I'd want to see which specific baseline achieves 74% and why — that number raises red flags for me about cherry-picking comparisons.

The meta knowledge representation itself (Section 3.1 if I recall correctly) is described in a way that I found genuinely hard to follow on first and second read. The connection to MAML-style meta-learning is there implicitly but never made rigorous. What exactly is being transmitted to the server? The paper oscillates between calling this ""gradients,"" ""gradient-based meta knowledge,"" and ""condensed data representations"" in ways that feel interchangeable but probably aren't. I'm not entirely sure these are equivalent and I don't think the authors have been careful enough here.

The dynamic weight assignment mechanism is the more interesting contribution in my view, but the ablation in Table 3 (or wherever it appears) doesn't convincingly show its individual contribution. I'd want to see cleaner ablations.

My bigger concern is the privacy claim. The abstract says this avoids ""leaking original data,"" but transmitting gradient-based meta knowledge is well-known to be susceptible to gradient inversion attacks (Zhu et al. 2019, Geiping et al. 2020). The paper essentially ignores this literature entirely. This isn't a minor oversight — it strikes at a core claimed advantage of the method.

The experiments on CIFAR-10 and CIFAR-100 under heterogeneous settings are more convincing, though I notice the non-IID degree used (Dirichlet α=0.1?) is fairly extreme and I wonder how the method performs across a range of α values rather than just one setting.

In my experience reviewing FL papers, the communication cost claims need to be spelled out very precisely — bits transmitted, not just ""rounds."" The paper conflates these throughout.

Overall I think there's a kernel of a good idea here but the paper needs substantial revision: clearer technical exposition, honest privacy analysis, stronger baselines on non-trivial datasets, and more rigorous ablations. I lean toward rejection in current form.",1,adversarial_bedrock_claude,TDf-XFAwc79
"This paper proposes NeuroLM, a framework that treats EEG signals as a ""foreign language"" and leverages LLMs for multi-task EEG understanding via instruction tuning. The core ideas — VQ-based neural tokenization, multi-channel autoregression, and instruction tuning across diverse EEG tasks — are reasonable, and I appreciate the ambition here. A 1.7B parameter model pre-trained on 25,000 hours of EEG data is genuinely impressive in scale, and the multi-task framing is a natural direction for the field.

That said, I have pretty significant concerns about the paper as currently written.

The empirical evaluation is where I keep getting stuck. The authors claim ""record-breaking"" performance and ""showcases the huge potential"" but Table 2 and Table 3 tell a more nuanced story. On several benchmarks the improvements over prior work are marginal — sometimes within what I'd consider noise, and the paper doesn't include statistical significance tests anywhere. After reading this twice I still couldn't find error bars or confidence intervals. For a paper making strong claims about a new paradigm, this is a real problem.

The ""first to demonstrate"" claims scattered throughout the abstract and introduction are also a bit aggressive. Work like LaBraM and related neural signal foundation models have explored similar territory. I'm not saying the contribution isn't novel, but the framing needs to be more careful and the related work section (Section 2) doesn't engage deeply enough with these contemporaneous efforts.

I found the description of the VQ tokenizer training in Section 3.2 somewhat unclear — specifically how the text-alignment is actually enforced during the temporal-frequency prediction objective. Equation 3 introduces the reconstruction loss but I'm not entirely sure how the ""text-aligned"" property emerges from this. Is it just from joint training with the language model downstream? If so, that's not quite the same as explicit alignment and the claim should be softened.

The ablation study in Section 4.4 is helpful but incomplete. There's no ablation on the scale of pretraining data or the importance of the multi-channel autoregression specifically, which are arguably the two most interesting design choices in the paper.

One more thing that genuinely bothered me: the instruction tuning format is described briefly but Figure 3 doesn't make it clear how continuous EEG representations interface with discrete text tokens in the decoder. This is a technically crucial detail and it feels glossed over.

I want to be clear that I think the direction is good and the scale of the effort is real. But the paper reads like it was written in a hurry — imprecise claims, missing implementation details, and evaluations that don't fully support the strong language used throughout. In my experience papers that lead with ""first"" and ""record-breaking"" need exceptionally rigorous empirical support, and this one isn't there yet. Major revision needed.",1,adversarial_bedrock_claude,Io9yFt7XH7
"This paper proposes an attention mechanism for CNNs that learns to weight intermediate feature maps for image classification. The core idea is relatively straightforward: compute attention scores over spatial feature maps at multiple scales, then use a convex combination of the attended features for final classification. I've seen a fair number of attention papers over the years and I think this one sits somewhere in the middle in terms of novelty — it's not groundbreaking but the empirical results are reasonably compelling.

Let me start with what I found genuinely interesting. The weakly supervised segmentation results on Object Discovery are probably the strongest contribution here. The binarized attention maps comparing favorably against traditional saliency methods and object proposals is a nice result, and Figure 4 (if I recall correctly from my read) shows some visually clean localizations. That said, I'm a bit skeptical about how sensitive these results are to the binarization threshold chosen — this isn't discussed carefully enough in the paper.

My bigger concern is the classification experiments. The evaluation on 6 ""unseen"" benchmark datasets is framed as demonstrating superior generalization, but the baseline comparisons feel a bit cherry-picked or at least underpowered. I'd want to see comparisons against SENet or CBAM-style channel/spatial attention mechanisms, which are obvious baselines that are conspicuously absent. After reading this twice I still wasn't fully convinced the gains aren't just coming from the additional parameters or the regularization effect of forcing classification through the attended representation rather than the attention mechanism per se. The ablation on this point is insufficient.

The adversarial robustness claim also feels tacked on. One attack method (FGSM) with limited experimental depth does not constitute a meaningful robustness analysis by today's standards. I might be wrong but I think this section actually weakens the paper by raising expectations it doesn't meet.

On the technical side, the formulation in Section 3 is clear enough, though I found the notation a bit heavy. Equation 3 or thereabouts — the convex combination constraint — is the right design choice and I appreciate that it's motivated theoretically, not just empirically.

One more thing: the claim of ""end-to-end trainable"" is true but also pretty standard at this point. It's highlighted as a contribution but it's table stakes in 2018+.

Overall I think this is a decent paper with some genuine contributions, particularly on the localization side, but the classification story needs stronger baselines and the adversarial robustness section should either be expanded substantially or removed. I'm leaning weak accept — the ideas are solid enough and the Object Discovery results are good — but the authors have real work to do on the experimental comparisons before I'd feel fully comfortable recommending acceptance.",1,adversarial_bedrock_claude,HyzbhfWRW
"This paper proposes a method called ""Parallel Quasi-Quantum Annealing with Gradient-Based Sampling"" for combinatorial optimization, combining continuous relaxation with a QQA schedule and parallel chains communicating via GPU. I'll share my thoughts below.

The core idea is interesting — using a homotopy-style approach where you start from a convex surrogate and gradually transition to the original objective is not new (this reminds me of work on graduated non-convexity and various annealing schemes), but combining it with gradient-based updates on the relaxed variables and explicit parallel communication is a reasonable contribution. I found the QQA formulation itself (Section 3, particularly around Eq. 4-6) reasonably clear, though I had to read it twice to understand exactly how the transition schedule works and whether it's theoretically motivated or essentially empirical. I'm still not entirely sure the ""quasi-quantum"" framing adds anything beyond analogy — the connection to actual quantum annealing feels superficial and I think this naming choice might mislead readers.

My bigger concern is the experimental evaluation. The authors compare against iSCO and various learning-based methods, and the results in Tables 2-3 show their method is ""competitive"" — but honestly, competitive isn't compelling. For a methods paper at this venue, I'd expect clearer wins. The speed-quality trade-off argument (which seems to be the main selling point for large instances) is somewhat convincing in Figure 3, but the comparison feels cherry-picked. Why these specific time budgets? What happens at longer runtimes — does the gap close? The paper doesn't address this.

I'm also bothered by the scalability claims. The authors argue their method is superior for large-scale instances, but the benchmark sizes used are not that large by modern standards. In my experience reviewing papers in this space, ""large-scale"" needs to be justified more carefully relative to the application domain.

The parallel communication mechanism (Section 3.3 or thereabouts) is described fairly briefly. How sensitive is performance to the communication frequency? This feels like a critical hyperparameter that deserves an ablation study — I see some ablation in the appendix but it felt incomplete.

The writing is generally okay but could be tightened. The introduction spends too long on background that's well-known to the target audience, and the ""quasi-quantum"" motivation in Section 2 meanders a bit.

Overall I think this is a decent paper with a reasonable contribution, but it falls short of what I'd consider a strong accept. The method works, the experiments are mostly fair, but the novelty is incremental and the empirical story isn't as clean as it needs to be. I'd lean weak reject, but I could be persuaded upward if the authors can address the scalability questions and provide a more thorough ablation on the communication scheme.",1,adversarial_bedrock_claude,9EfBeXaXf0
"This paper tackles an interesting and underexplored problem — certifying GNNs against label poisoning attacks. I'll say upfront that I found this work genuinely novel, and the claim of being the first exact certificate for a poisoning attack on neural networks seems credible to me, though I'd want the authors to be more careful about exactly what assumptions make this ""exact"" (more on this below).

The core technical contribution is reformulating the bilevel poisoning problem into a MILP by exploiting the NTK approximation for wide networks. This is clever. I've seen NTK used for a lot of things over the past few years but using it specifically to linearize training dynamics so you can get exact combinatorial guarantees is a nice idea. The connection is clean and the derivation in Section 3 follows logically, though equation (4) and the subsequent linearization steps could use more intuition — I had to read this section twice and I'm still not 100% sure the approximation error is being handled correctly when they claim ""exactness.""

And that's my main concern: the word ""exact"" is doing a lot of heavy lifting in this paper. The certificate is exact *given* the NTK approximation holds, which requires infinitely wide networks. Real GNNs are not infinitely wide. The authors acknowledge this in passing but I think the gap between theory and practice needs more honest treatment. How wide does a network actually need to be for the NTK approximation to be tight enough that the certificate remains meaningful? The empirical results don't really answer this. This feels like a significant limitation that gets somewhat buried.

The experimental findings are interesting — I particularly liked the ""robustness plateau"" phenomenon described in section 5.3 and Figure 4. That's genuinely surprising and I think it deserves more investigation. Is there a theoretical explanation? The authors gesture at one but don't really nail it down.

On the scalability side — the MILP formulation is inherently limited. Table 2 shows runtimes that grow quite badly, and the graphs studied are relatively small. I think the paper should be more upfront about this being a tool for understanding worst-case behavior rather than something deployable in practice.

The related work section is fine but I'd have liked to see more discussion of the randomized smoothing literature for poisoning (Rosenfeld et al. 2020 and related), since those approaches trade exactness for scalability in a complementary way.

Minor things: Figure 2 is a bit hard to read at conference print size. Some notation in Section 3 is introduced before being defined.

Overall I think this is a solid theoretical contribution with genuine novelty. The limitations around the NTK approximation need to be addressed more honestly, but the work opens up a real new direction. I lean toward acceptance but the authors need to clarify the ""exact"" claim more carefully.",1,adversarial_bedrock_claude,d9aWa875kj
"This paper tackles an important and practically relevant problem — reducing the burden of learning rate tuning in deep learning. The proposed method, AdamG, combines AdaGrad-Norm with a ""golden step size"" derived analytically, and the authors introduce a new evaluation metric called ""reliability"" to assess parameter-free optimizers. I think the motivation is sound and the paper is reasonably well-written.

That said, I have some significant concerns.

The theoretical contribution feels somewhat thin to me. The golden step size derivation (Section 3, around equations 4-6 if I recall correctly) essentially follows from minimizing a bound on the convergence rate of AdaGrad-Norm — this is not a surprising result, and I found myself wondering how novel this really is compared to prior work on step size selection in adaptive methods. The authors should more clearly delineate what is genuinely new theoretically versus what follows directly from existing AdaGrad-Norm analysis. After reading this section twice, I'm still not fully convinced the theoretical insights are deep enough for a top venue.

The ""reliability"" criterion is interesting and I actually think this is one of the more useful contributions of the paper — it captures something real that practitioners care about. However, the definition feels somewhat ad hoc. Why this particular formulation? Is it robust to the choice of baseline or reference performance? I found the justification in Section 4 a bit hand-wavy. I'd want to see sensitivity analysis around this metric.

The empirical results are mixed, honestly. On some tasks AdamG looks competitive with tuned Adam, which is genuinely impressive. But Table 2 (or whichever table covers the NLP tasks) shows some noticeable gaps, and the authors somewhat brush past this. I'm also a bit skeptical of the experimental scope — in my experience, these parameter-free methods tend to fail in specific regimes (e.g., transformers with warmup schedules, tasks requiring very careful LR decay), and I don't think the paper adequately stress-tests the method here.

The comparison to D-Adaptation and Prodigy seems fair, though I'd have liked to see more recent baselines. There's also been some concurrent work on schedule-free methods (Defazio et al.) that I think deserves at least a discussion, if not direct comparison.

Minor issues: Figure 3 is quite small and hard to read. Some notation in Section 3 is overloaded. The abstract oversells slightly with ""consistently on par with Adam"" — this isn't quite what the results show.

Overall: I think there's a publishable idea here but the paper in its current form oversells both the theory and the empirical results. The reliability metric is genuinely useful. The method seems practically reasonable. But I'd want stronger theoretical justification and more honest empirical analysis before recommending acceptance. Leaning weak reject, but could be convinced otherwise with revisions.",1,adversarial_bedrock_claude,LHPWuckqgM
"This paper proposes a weakly supervised training approach for machine-learned interatomic potentials (MLIPs), introducing two loss functions based on Taylor expansion of potential energy and conservation of forces. The core idea is to use unlabeled (or partially labeled) configurations to regularize training, which is an interesting angle on a real practical problem in the field.

Let me start with what I think works. The motivation is genuine — getting forces from ab initio calculations is expensive, and any method that reduces this burden while maintaining accuracy is worth pursuing. The CBS extrapolation application in Section 5.3 is actually the most compelling part of the paper to me, because it addresses a concrete situation where force labels genuinely cannot be obtained. I found myself wishing this had been the central framing rather than something introduced late.

That said, I have significant concerns. The Taylor expansion loss (Eq. 4-5, around page 4-5) is essentially a finite-difference approximation to forces — this is not new. Methods like the work by Vandermause et al. on FLARE, or various active learning approaches, have used similar ideas. The novelty claim needs to be much more carefully scoped against existing literature. The authors cite some related work but I don't think the comparison is thorough enough.

The empirical results are presented as ""often lower by a factor of two"" in the abstract, which I found a bit optimistic after reading the actual tables. Looking at Table 2, the improvements are real but inconsistent — some systems show modest gains and a few are actually worse. The framing in the abstract oversells this. In my experience reviewing MLIP papers, cherry-picked error reductions are a red flag, and the variance across systems here deserves more discussion rather than being glossed over.

I'm also confused about the weakly supervised framing. The paper uses this term but in many experiments the ""unlabeled"" data is just configurations without forces — energies are still available. That's a pretty specific and somewhat narrow definition of weak supervision. The paper should be clearer upfront about exactly what information is assumed available in each experimental setting.

The MD stability experiments are appreciated but underdescribed. How long are these simulations? What failure modes are being prevented? Figure 4 shows some results but I had to read the caption three times to understand what I was looking at.

One more thing — the implementation link is provided which is good for reproducibility, though I obviously can't verify it fully in review.

Overall, I think there's a real contribution buried here, particularly around the CBS application, but the paper needs better positioning against prior work, more honest presentation of results, and clearer definitions of the problem setting. The current version feels like it's trying to be too general and ends up being somewhat vague about what exactly is novel. I'd recommend major revisions.",1,adversarial_bedrock_claude,qfU5S4cddQ
"This paper tackles an interesting problem — how to sequentially encode multiple videos using neural implicit representations without catastrophic forgetting. The core idea of finding sparse subnetworks in Fourier space (building on SIREN-type architectures) and freezing previously learned weights is reasonable, and I appreciate that the authors ground the work in continual learning literature rather than treating it as purely a compression/NIR paper.

That said, I have several concerns after reading through this twice.

The technical novelty feels incremental to me. The combination of (1) sparse masking in neural networks and (2) frozen weights for previous tasks is essentially a well-known recipe from continual learning — PackNet, HAT, and related methods have done this for years. The ""Fourier space"" angle is the distinguishing factor here, but I found the justification for *why* Fourier specifically helps with video representation somewhat hand-wavy. The paper gestures at frequency decomposition being natural for video signals but doesn't rigorously establish why sparsity in this particular basis is preferable to, say, sparsity in a standard MLP with positional encodings. I might be wrong, but the ablation in Table 3 doesn't fully convince me either — the comparison points feel cherry-picked.

The experimental setup is where I have the most trouble. UVG and DAVIS are fine benchmarks, but 8, 17, and 50 videos respectively feel like small-scale validation. In my experience with continual learning papers, the interesting failure modes often only emerge at larger scales. How does PFNR behave when you push to 200+ videos? The free weight capacity will eventually be exhausted — what happens then? This is barely addressed and I think it's a critical limitation that deserves real analysis, not just a brief mention.

Figure 3 is confusing. The visualization of which ""sub-modules"" get activated across sessions is hard to interpret — the caption doesn't explain the color coding clearly enough and I spent an embarrassing amount of time trying to figure out what I was looking at.

The comparison to baselines is also somewhat frustrating. EWC and PackNet are included, which is appropriate, but more recent continual learning methods (e.g., methods based on prompt tuning or dynamic architectures from 2022-2023) are absent. The claim of ""impressive performance gains over strong continual learning baselines"" is a bit oversold given the baselines chosen.

On the positive side: the lossless decoding guarantee for previous videos is a genuinely nice property and clearly demonstrated. The writing is generally clear, and I found the problem formulation in Section 3 well-structured.

My overall feeling is that this is a borderline paper. The idea is sensible and the results are positive, but the novelty is limited and the experimental validation doesn't fully support the broader claims being made. I'd want to see the capacity exhaustion analysis and stronger baselines before I'd feel comfortable accepting this.",1,adversarial_bedrock_claude,rGFrRMBbOq
"This paper tackles an interesting problem — incorporating structural locality into non-parametric language models — and the core intuition is sound. Real-world data does have hierarchical structure (code repositories, Wikipedia categories, etc.) and it seems reasonable to expect that leveraging this during retrieval would help. I've seen related ideas in document-level language modeling and retrieval-augmented generation, so the motivation resonates with me.

That said, I have some significant concerns about the paper as presented.

The proposed method is described as ""simple yet effective,"" and honestly... it's a bit *too* simple. The core contribution seems to be adding learned parameters that upweight retrievals from local neighborhoods. After reading the method section twice, I'm still not entirely clear on exactly how these locality features are parameterized and how they interact with the base retrieval score. Equation 3 (I think?) is doing a lot of heavy lifting here and deserves more careful exposition. I might be wrong about which equation is central, but the notation felt underspecified throughout.

The experimental results are where I get more skeptical. The improvements on Java code are more convincing than on Wikipedia text, and the authors acknowledge ""interesting differences"" between the two domains — but this feels like a euphemism for ""we don't fully understand why our method works inconsistently."" I want a more direct engagement with this discrepancy. Is structural locality just more well-defined in code repositories than in Wikipedia? If so, that's an important limitation to state clearly rather than wave away.

Table 2 shows the main results and the gains are modest. Not embarrassingly small, but modest. In my experience, results at this margin often don't survive across datasets or slight changes in experimental setup. I'd feel better about the contribution if there were more ablations — specifically, what happens with different granularities of locality structure? The paper somewhat addresses this but not thoroughly enough.

The related work section is fine but misses some relevant citations from the kNN-LM line of work, particularly more recent papers from 2022-2023 that have also tried to incorporate structural or temporal biases into datastore retrieval. The authors should engage with those more explicitly.

One genuinely nice part of the paper is Section 5's analysis of where locality features contribute — the per-position breakdown is informative and I found myself actually interested in that analysis. More of this would strengthen the paper considerably.

The writing is generally clear but gets sloppy in places, particularly in section 3 where some sentences are just too long and the paragraph structure breaks down.

Overall: the idea is legitimate and worth pursuing, but the paper in its current form doesn't fully deliver on the promise. The inconsistent results across domains and the somewhat thin theoretical/empirical justification make me hesitant. I lean toward rejection but would genuinely reconsider with stronger experimental analysis and a more honest treatment of the Wikipedia results.",1,adversarial_bedrock_claude,nnU3IUMJmN
"This paper presents AVCaps, a dataset of ~2000 video clips with separate captions for audio, visual, and audio-visual content. The motivation is reasonable — the observation that crowdsourced AV captions tend to be visually biased is something I've noticed anecdow in related work too, and having modality-specific annotations could indeed be useful for the community.

That said, I have pretty significant concerns about the scale and novelty here. 2061 clips and 28.8 hours is, frankly, small for a dataset paper being submitted to a top venue in 2024. For comparison, AudioCaps has ~50k clips, WavCaps is even larger, and even more specialized datasets like AudioSet-SL dwarf this in scale. The authors need to make a much stronger case for why depth (multiple caption types) compensates for this limited scale, especially if practitioners want to train models on this data. The 14% improvement in Sentence-BERT similarity is promising but I'm skeptical of how much this would hold up at scale or transfer broadly.

The LLM-generated caption portion is also a bit hand-wavy to me. Section 3 (I think it's around page 4-5?) describes using LLMs to generate balanced AV captions from the crowdsourced ones, but the prompt engineering details and the actual prompts used are either buried or missing entirely. I found this confusing after reading it twice. How much did the LLM just hallucinate content that wasn't in the original crowdsourced captions? What quality checks were performed beyond the human preference study? This feels underspecified for a dataset paper where reproducibility really matters.

Figure 2 showing the caption length distributions is helpful, but I wish the authors had done more rigorous analysis of semantic overlap between the three caption types. Just because captions were collected separately doesn't guarantee they're actually capturing modality-specific information — a visual caption for a video of someone playing guitar might still mention ""music"" or ""sound."" Is there any analysis of this cross-contamination?

The retrieval experiments are fine as a sanity check but they don't really stress-test the dataset's unique properties. I would have liked to see experiments that specifically probe whether modality-specific training captions help on genuinely audio-heavy content versus visually-dominant content separately.

I'm also not entirely sure the framing around ""unlocking"" question answering and new metrics (Section 5 or so) is well-supported — it reads like future work speculation padded out to fill pages.

I don't want to be entirely negative here. The core idea is sound, the annotation protocol seems careful, and there is genuine value in having this kind of modality-disaggregated resource. But dataset papers need to either be large enough to train on seriously, or methodologically novel enough to justify their size. Right now I'm not convinced this clears either bar sufficiently. I'd want to see stronger baselines, more rigorous analysis of caption quality, and an honest comparison to what a researcher could achieve by just using existing datasets with different training strategies.

Leaning toward rejection but open to being convinced otherwise.",1,adversarial_bedrock_claude,FFUmPQM8c5
"This paper tackles video-conditioned policy learning with an information bottleneck approach for skill discovery, which is a reasonable problem to study. I've seen a lot of work in this space over the past few years and the compositional generalization angle is genuinely interesting — so let me share my honest thoughts.

The core idea is fairly intuitive: compress video representations so they only retain skill-relevant information, then hope that these compressed representations correspond to reusable skill primitives that can be recombined at test time. I think the motivation is sound but I found myself unconvinced that the information bottleneck is doing the heavy lifting here versus just acting as a regularizer. The paper doesn't really disentangle these two things empirically. After reading the method section twice, I'm still not entirely sure what makes the discovered skills ""implicit"" — the terminology feels a bit loose throughout.

On the experiments: the 2x improvement claim in the abstract sounds impressive, but looking at Table 2 more carefully, this seems cherry-picked from specific environment configurations. The average gains are considerably more modest, and in some settings the margins are within noise. I'd push back on leading with this framing. Also, I noticed the baselines are somewhat weak — where is the comparison against more recent video-conditioned imitation learning methods? The authors cite some relevant work but don't include them as baselines, which is a significant omission.

Figure 3 is trying to do a lot of work and I found it genuinely hard to parse. The visualization of ""skill discovery"" doesn't convincingly show that the model has learned semantically meaningful primitives — it looks more like clustering in embedding space, which could emerge from many objectives. I might be wrong about this, but I'd want to see some qualitative analysis of what the discovered skills actually correspond to in terms of robot behavior.

The theoretical justification in Section 3.2 feels a bit pro forma. The bound in Eq. 4 is a standard IB result and the step connecting it to compositional generalization is handwavy at best. In my experience, papers that claim IB provides generalization guarantees often struggle when you probe the assumptions carefully.

One thing I do appreciate: the experimental environments are reasonably diverse and the authors do test on genuinely unseen task compositions, not just held-out instances of seen tasks. That's the right evaluation setup and I give credit for it.

Overall I think this paper has a kernel of a good idea but the execution and evaluation need significant work before I'd be comfortable recommending acceptance. The claims outrun the evidence. I'd want stronger baselines, cleaner ablations that isolate the IB contribution specifically, and a more honest treatment of where the method fails or struggles. Not a rejection necessarily — revise and resubmit territory in my view.",1,adversarial_bedrock_claude,hgvERMkXOx
"This paper tackles an interesting and practically relevant problem — getting RL agents to generalize across environment variations without the sample inefficiency that plagues naive domain randomization. The core theoretical contribution (connecting Lipschitz regularity of the policy w.r.t. randomization parameters to variance reduction) is intuitive and I appreciate that the authors tried to ground their method formally. But I have significant concerns about both the theoretical and empirical aspects that I think need to be addressed.

On the theory side: the claim that minimizing the Lipschitz constant leads to low variance policies is presented somewhat loosely. The connection between the Lipschitz bound and actual policy variance in practice depends on assumptions about the distribution of randomization parameters that I don't think are stated carefully enough. Equation (3) in particular — I had to read this section twice and I'm still not fully convinced the bound is tight or even particularly informative in realistic settings. I might be wrong here, but it feels like the authors are conflating smoothness of the representation with smoothness of the policy, which are not the same thing when you have a nonlinear policy head on top.

The experimental section is where my concerns become more serious. The environments tested (I'm looking at the results in Table 2) are frankly quite simple, and I'm skeptical these results would hold in anything resembling a challenging continuous control benchmark. MuJoCo locomotion with meaningful physics randomization, for instance, is conspicuously absent. The comparison baselines also feel a bit cherry-picked — there's a whole literature on robust RL and sim-to-real transfer (e.g., Tobin et al., Peng et al. on adaptive domain randomization, RARL) that gets minimal engagement. ""Equal generalization scores"" in the abstract sounds good until you realize the generalization gap being closed is already small in the chosen environments.

I also found the description of how the Lipschitz regularization is actually implemented somewhat vague. The practical approximation used in training — is this a spectral norm on the representation layers? The paper gestures at this around page 6 but doesn't give me enough to reproduce the method confidently. This is a real problem.

One genuine positive: training on a single environment variation and regularizing toward robustness is a computationally appealing idea, and the sample efficiency gains shown in Figure 3 do look real. That's not nothing.

But overall, I think the paper needs substantially stronger experiments and a cleaner presentation of the theoretical claims before it's ready for publication at a top venue. The idea has merit — I don't want to be entirely dismissive — but right now it reads like a workshop paper that's been stretched. I'm recommending rejection, though I'd encourage the authors to resubmit with more rigorous evaluation.",1,adversarial_bedrock_claude,H1xSOTVtvH
"This paper proposes using a conditional latent diffusion model to generate LoRA parameters for task-specific fine-tuning, which I'll admit is a reasonably interesting idea on its face. The core pipeline — autoencoder for parameter compression followed by conditional LDM — is straightforward enough that I could follow it without too much trouble. But after reading this twice, I have some fairly serious concerns about both the motivation and the experimental validation.

My biggest issue is the ""so what"" problem. The paper generates LoRA parameters conditioned on a task, but... you could just train LoRA directly. The authors gesture at generalization capability (the distribution shift observation near the end) but this feels severely underexplored and honestly a bit hand-wavy. I want to see this actually demonstrated rigorously, not pointed to as a curiosity. What is the actual use case here? Speed? Memory? The ability to sample diverse high-performing solutions? I genuinely couldn't tell after reading the paper.

The experimental section is where I think the paper really struggles. The baselines are weak — comparing against p-diff and a few other parameter generation methods is fine, but where's the comparison against simply training LoRA with different random seeds, or hyperparameter search? The performance numbers in Table 2 look reasonable but the margins are often small and I'm not convinced the variance is properly reported. How many runs? In my experience with these kinds of generative parameter methods, variance between runs can be substantial.

I'm also not entirely sure the autoencoder reconstruction quality is being properly scrutinized. Figure 3 shows some results but I found the analysis thin. What's the reconstruction error, and how sensitive is downstream task performance to that error? This feels like a crucial ablation that's missing.

The claim about ""generalization capability"" based on distribution differences (I think this is around Section 4.3?) is honestly the most interesting part of the paper, but it's treated almost as an afterthought. If generated parameters genuinely occupy a different — and better — region of the loss landscape, that would be a strong result worth a much deeper investigation. Right now it reads like the authors stumbled onto something and didn't fully chase it.

Writing is serviceable but has some rough patches, particularly in the introduction where the motivation feels circular. The related work is fine.

I might be wrong about the significance here — maybe I'm missing the forest for the trees on the application scenario — but as it stands I think the paper needs substantially stronger experimental justification and a clearer articulation of when and why you'd use this over just... running AdamW. Not ready for acceptance in my view. A major revision at minimum.",1,adversarial_bedrock_claude,AjunxrcKa2
"This paper tackles the question of how to define and measure ""information"" in the weights of a deep neural network, connecting this to generalization and invariance. I've spent a fair amount of time with this manuscript and have mixed feelings.

The core contribution — unifying Shannon MI and Fisher Information under a single framework via PAC-Bayes and relating this to invariance in activations — is genuinely interesting in principle. I found the framing in Section 3 fairly clean, and the connection to PAC-Bayes bounds is well-motivated. The key result linking information in the weights to invariance properties of learned representations (Section 4, if I'm reading the structure correctly) is probably the most novel part of the paper.

That said, I have real concerns. The paper feels somewhat disconnected from empirical reality. There are very limited experiments, and what's there doesn't convincingly demonstrate that the theoretical quantities being defined are actually tractable to compute or meaningful in practice. I kept asking myself: can we actually measure ""information in the weights"" as defined here for a ResNet or a transformer? The authors never really address this head-on. In my experience, papers in this space often define elegant theoretical quantities that are essentially uncomputable at scale, and I'm not sure this paper escapes that trap.

The treatment of ""effective information in activations"" I found somewhat undercooked. The definition feels a bit ad hoc, and I'm not entirely sure the relationship established in Theorem X (I believe it's around page 8) actually carries the interpretive weight the authors claim. I might be wrong here — I read this section twice and still wasn't fully convinced the connection to invariance is as tight as advertised. The argument seems to require assumptions on the prior that are never really justified empirically.

I also think the related work section undersells the relevant literature. Tishby's Information Bottleneck, Achille and Soatto's work on information in the weights, and more recent work by Dziugaite and Roy on nonvacuous PAC-Bayes bounds are all relevant but handled somewhat superficially. The relationship to Achille & Soatto in particular feels underexplored — they've made very similar claims about invariance and information complexity and I'd want to see a sharper delineation.

The writing is generally clear but occasionally imprecise. The abstract promises more than the paper delivers, which is frustrating.

Bottom line: there's a kernel of a good idea here and the theoretical framework has some elegance. But the lack of computational tractability, the thin empirical validation, and some gaps in the theoretical argumentation make me hesitant. I lean toward rejection but would genuinely reconsider if the authors could address the tractability question directly and sharpen the invariance result. Not a bad paper — just not ready.",1,adversarial_bedrock_claude,BkgHWkrtPB
